country_key,country,score,gdp,social,life,freedom,generosity,corruption,residual
portugal,Portugal,5.968,1.758,1.356,0.537,0.693,0.031,0.037,1.556
republic of korea,Republic of Korea,5.951,1.853,1.188,0.603,0.446,0.112,0.163,1.587
greece,Greece,5.931,1.708,1.247,0.535,0.248,0.008,0.097,2.089
mauritius,Mauritius,5.902,1.589,1.382,0.336,0.574,0.121,0.11,1.79
thailand,Thailand,5.843,1.515,1.344,0.461,0.624,0.291,0.013,1.594
mongolia,Mongolia,5.84,1.379,1.494,0.244,0.425,0.239,0.058,2.001
kyrgyzstan,Kyrgyzstan,5.825,1.061,1.439,0.417,0.735,0.234,0.018,1.92
republic of moldova,Republic of Moldova,5.819,1.425,1.302,0.375,0.61,0.093,0.02,1.995
china,China,5.818,1.51,1.249,0.468,0.666,0.115,0.145,1.666
viet nam,Viet Nam,5.763,1.349,1.212,0.381,0.741,0.134,0.122,1.824
paraguay,Paraguay,5.738,1.428,1.427,0.392,0.678,0.148,0.062,1.604
montenegro,Montenegro,5.722,1.537,1.385,0.424,0.563,0.17,0.061,1.581
jamaica,Jamaica,5.703,1.305,1.329,0.411,0.587,0.079,0.039,1.954
bolivia,Bolivia,5.684,1.24,1.187,0.329,0.648,0.103,0.06,2.118
russian federation,Russian Federation,5.661,1.68,1.383,0.366,0.449,0.12,0.091,1.572
bosnia and herzegovina,Bosnia and Herzegovina,5.633,1.467,1.361,0.429,0.485,0.247,0.008,1.635
colombia,Colombia,5.63,1.455,1.213,0.486,0.562,0.08,0.068,1.765
dominican republic,Dominican Republic,5.569,1.536,1.227,0.351,0.623,0.083,0.195,1.553
ecuador,Ecuador,5.559,1.343,1.173,0.476,0.56,0.079,0.069,1.86
peru,Peru,5.526,1.39,1.153,0.499,0.549,0.073,0.027,1.835
philippines,Philippines,5.523,1.238,1.108,0.286,0.714,0.104,0.141,1.931
bulgaria,Bulgaria,5.466,1.635,1.457,0.408,0.557,0.106,0.013,1.289
nepal,Nepal,5.36,0.979,1.027,0.281,0.567,0.215,0.104,2.187
armenia,Armenia,5.342,1.466,1.134,0.443,0.551,0.053,0.16,1.534
tajikistan,Tajikistan,5.33,0.972,1.248,0.291,0.599,0.104,0.292,1.823
algeria,Algeria,5.329,1.353,1.298,0.409,0.252,0.073,0.152,1.791
hong kong sar of china,Hong Kong SAR of China,5.308,1.951,1.201,0.702,0.407,0.123,0.39,0.535
albania,Albania,5.277,1.449,0.951,0.48,0.549,0.133,0.037,1.678
indonesia,Indonesia,5.277,1.384,1.169,0.314,0.663,0.422,0.038,1.288
south africa,South Africa,5.275,1.417,1.428,0.149,0.464,0.09,0.019,1.708
congo,Congo,5.267,0.921,0.665,0.145,0.464,0.134,0.136,2.802
north macedonia,North Macedonia,5.254,1.498,1.171,0.408,0.515,0.207,0.02,1.435
venezuela,Venezuela,5.211,0.0,1.257,0.341,0.369,0.205,0.084,2.955
lao pdr,Lao PDR,5.111,1.232,0.853,0.257,0.715,0.185,0.162,1.707
georgia,Georgia,5.109,1.477,0.947,0.366,0.539,0.0,0.201,1.58
guinea,Guinea,5.072,0.844,0.776,0.072,0.369,0.204,0.102,2.705
ukraine,Ukraine,5.071,1.358,1.354,0.355,0.551,0.265,0.016,1.172
c te divoire,Côte d’Ivoire,5.053,1.094,0.584,0.12,0.467,0.138,0.131,2.519
gabon,Gabon,5.035,1.438,1.021,0.183,0.346,0.036,0.102,1.908
nigeria,Nigeria,4.981,1.065,1.007,0.092,0.448,0.176,0.013,2.181
cameroon,Cameroon,4.973,0.965,0.871,0.118,0.405,0.144,0.059,2.411
mozambique,Mozambique,4.954,0.57,0.885,0.0,0.625,0.161,0.192,2.519
iraq,Iraq,4.941,1.281,0.953,0.324,0.351,0.134,0.038,1.861
state of palestine,State of Palestine,4.908,1.144,1.309,,0.416,0.065,0.067,
morocco,Morocco,4.903,1.236,0.535,0.337,0.54,0.013,0.085,2.158
iran,Iran,4.876,1.465,1.102,0.411,0.281,0.229,0.13,1.259
senegal,Senegal,4.855,0.943,0.727,0.231,0.519,0.142,0.06,2.234
mauritania,Mauritania,4.724,1.099,0.764,0.244,0.32,0.13,0.195,1.973
burkina faso,Burkina Faso,4.638,0.768,0.814,0.107,0.419,0.188,0.113,2.23
namibia,Namibia,4.631,1.289,1.126,0.145,0.383,0.069,0.071,1.549
t rkiye,Türkiye,4.614,1.714,1.148,0.467,0.125,0.095,0.096,0.969
ghana,Ghana,4.605,1.101,0.756,0.197,0.526,0.211,0.035,1.779
pakistan,Pakistan,4.555,1.081,0.657,0.158,0.511,0.141,0.102,1.907
niger,Niger,4.501,0.561,0.628,0.137,0.54,0.154,0.14,2.341
tunisia,Tunisia,4.497,1.333,0.981,0.422,0.259,0.022,0.016,1.463
kenya,Kenya,4.487,1.051,0.881,0.19,0.418,0.291,0.055,1.601
sri lanka,Sri Lanka,4.442,1.422,1.224,0.426,0.539,0.12,0.086,0.625
uganda,Uganda,4.432,0.785,1.144,0.201,0.425,0.197,0.051,1.628
chad,Chad,4.397,0.622,0.962,0.043,0.393,0.255,0.088,2.034
cambodia,Cambodia,4.393,1.025,1.024,0.283,0.768,0.176,0.051,1.068
benin,Benin,4.374,0.924,0.242,0.124,0.481,0.114,0.253,2.235
myanmar,Myanmar,4.372,1.032,1.125,0.269,0.46,0.4,0.194,0.893
bangladesh,Bangladesh,4.282,1.133,0.513,0.355,0.617,0.139,0.165,1.361
gambia,Gambia,4.279,0.761,0.614,0.174,0.286,0.332,0.033,2.081
mali,Mali,4.198,0.763,0.637,0.106,0.441,0.121,0.059,2.07
egypt,Egypt,4.17,1.377,0.972,0.326,0.467,0.038,0.25,0.74
togo,Togo,4.137,0.77,0.642,0.161,0.367,0.149,0.136,1.913
jordan,Jordan,4.12,1.292,0.98,0.438,0.517,0.056,0.173,0.663
ethiopia,Ethiopia,4.091,0.793,1.114,0.25,0.451,0.283,0.101,1.099
liberia,Liberia,4.042,0.628,0.644,0.141,0.471,0.219,0.071,1.869
india,India,4.036,1.159,0.674,0.252,0.685,0.175,0.111,0.979
madagascar,Madagascar,4.019,0.632,0.779,0.178,0.187,0.177,0.134,1.932
zambia,Zambia,3.982,0.914,0.89,0.095,0.545,0.189,0.08,1.27
tanzania,Tanzania,3.694,0.836,0.787,0.214,0.607,0.234,0.269,0.747
comoros,Comoros,3.545,0.914,0.327,0.215,0.117,0.129,0.145,1.699
malawi,Malawi,3.495,0.637,0.479,0.189,0.49,0.139,0.129,1.432
botswana,Botswana,3.435,1.471,1.041,0.087,0.48,0.021,0.071,0.264
dr congo,DR Congo,3.207,0.531,0.784,0.105,0.375,0.183,0.068,1.162
zimbabwe,Zimbabwe,3.204,0.758,0.881,0.069,0.363,0.112,0.117,0.905
sierra leone,Sierra Leone,3.138,0.67,0.54,0.092,0.371,0.193,0.051,1.221
lebanon,Lebanon,2.392,1.417,0.476,0.398,0.123,0.061,0.027,-0.11
afghanistan,Afghanistan,1.859,0.645,0.0,0.087,0.0,0.093,0.059,0.976
finland,Finland,7.821,1.892,1.258,0.775,0.736,0.109,0.534,2.518
denmark,Denmark,7.636,1.953,1.243,0.777,0.719,0.188,0.532,2.226
iceland,Iceland,7.557,1.936,1.32,0.803,0.718,0.27,0.191,2.32
switzerland,Switzerland,7.512,2.026,1.226,0.822,0.677,0.147,0.461,2.153
netherlands,Netherlands,7.415,1.945,1.206,0.787,0.651,0.271,0.419,2.137
luxembourg,Luxembourg,7.404,2.209,1.155,0.79,0.7,0.12,0.388,2.042
sweden,Sweden,7.384,1.92,1.204,0.803,0.724,0.218,0.512,2.003
norway,Norway,7.365,1.997,1.239,0.786,0.728,0.217,0.474,1.925
israel,Israel,7.364,1.826,1.221,0.818,0.568,0.155,0.143,2.634
new zealand,New Zealand,7.2,1.852,1.235,0.752,0.68,0.245,0.483,1.954
austria,Austria,7.163,1.931,1.165,0.774,0.623,0.193,0.329,2.148
australia,Australia,7.162,1.9,1.203,0.772,0.676,0.258,0.341,2.011
ireland,Ireland,7.041,2.129,1.166,0.779,0.627,0.19,0.408,1.743
germany,Germany,7.034,1.924,1.088,0.776,0.585,0.163,0.358,2.142
canada,Canada,7.025,1.886,1.188,0.783,0.659,0.217,0.368,1.924
united states,United States,6.977,1.982,1.182,0.628,0.574,0.22,0.177,2.214
united kingdom,United Kingdom,6.943,1.867,1.143,0.75,0.597,0.289,0.329,1.967
czechia,Czechia,6.92,1.815,1.26,0.715,0.66,0.158,0.048,2.263
belgium,Belgium,6.805,1.907,1.106,0.764,0.492,0.049,0.204,2.283
france,France,6.687,1.863,1.219,0.808,0.567,0.07,0.266,1.895
bahrain,Bahrain,6.647,1.854,1.029,0.625,0.693,0.199,0.155,2.092
slovenia,Slovenia,6.63,1.81,1.249,0.769,0.685,0.118,0.115,1.885
costa rica,Costa Rica,6.582,1.584,1.054,0.744,0.661,0.089,0.102,2.346
united arab emirates,United Arab Emirates,6.576,1.998,0.98,0.633,0.702,0.204,0.25,1.809
saudi arabia,Saudi Arabia,6.523,1.87,1.092,0.577,0.651,0.078,0.18,2.075
taiwan province of china,Taiwan Province of China,6.512,1.897,1.095,0.733,0.542,0.075,0.168,2.002
singapore,Singapore,6.48,2.149,1.127,0.851,0.672,0.163,0.587,0.932
romania,Romania,6.477,1.719,1.006,0.655,0.605,0.039,0.006,2.446
spain,Spain,6.476,1.808,1.211,0.808,0.505,0.101,0.149,1.893
uruguay,Uruguay,6.474,1.615,1.18,0.672,0.665,0.103,0.265,1.974
italy,Italy,6.467,1.834,1.052,0.801,0.412,0.085,0.059,2.222
kosovo,Kosovo,6.455,1.362,0.949,0.569,0.599,0.309,0.035,2.631
malta,Malta,6.447,1.838,1.169,0.789,0.679,0.174,0.166,1.631
lithuania,Lithuania,6.446,1.804,1.204,0.659,0.496,0.053,0.077,2.153
slovakia,Slovakia,6.391,1.736,1.232,0.707,0.479,0.118,0.025,2.094
estonia,Estonia,6.341,1.793,1.232,0.728,0.689,0.123,0.333,1.442
panama,Panama,6.309,1.715,1.107,0.709,0.592,0.049,0.051,2.086
brazil,Brazil,6.293,1.462,1.044,0.615,0.546,0.131,0.134,2.361
guatemala,Guatemala,6.262,1.274,0.831,0.522,0.662,0.112,0.115,2.746
kazakhstan,Kazakhstan,6.234,1.668,1.22,0.611,0.584,0.134,0.157,1.86
cyprus,Cyprus,6.221,1.815,0.909,0.819,0.448,0.123,0.062,2.044
latvia,Latvia,6.18,1.732,1.221,0.637,0.502,0.075,0.09,1.923
serbia,Serbia,6.178,1.55,1.086,0.658,0.546,0.219,0.088,2.031
chile,Chile,6.172,1.651,1.08,0.748,0.46,0.124,0.069,2.04
nicaragua,Nicaragua,6.165,1.105,1.029,0.617,0.617,0.168,0.212,2.418
mexico,Mexico,6.128,1.552,0.886,0.623,0.621,0.092,0.115,2.239
croatia,Croatia,6.125,1.705,1.183,0.709,0.535,0.109,0.0,1.884
poland,Poland,6.123,1.758,1.174,0.712,0.523,0.124,0.14,1.693
